Datum;BundeslandID;Name;TestungenApotheken;TestungenApothekenPCR;TestungenApothekenAntigen;TestungenBetriebe
2021-06-06;9;Wien;2189165;;2189165;727010
2021-06-06;10;Österreich;7173623;;7173623;3923316
2021-06-07;1;Burgenland;442847;;442847;295874
2021-06-07;2;Kärnten;369469;;369469;165193
2021-06-07;3;Niederösterreich;826218;;826218;942191
2021-06-07;4;Oberösterreich;668251;;668251;576379
2021-06-07;5;Salzburg;463072;;463072;201994
2021-06-07;6;Steiermark;1105084;;1105084;773826
2021-06-07;7;Tirol;577061;;577061;141262
2021-06-07;8;Vorarlberg;542692;;542692;114790
2021-06-07;9;Wien;2193029;;2193029;729798
2021-06-07;10;Österreich;7187723;;7187723;3941307
2021-06-08;1;Burgenland;449439;;449439;302024
2021-06-08;2;Kärnten;375861;;375861;168743
2021-06-08;3;Niederösterreich;841363;;841363;961428
2021-06-08;4;Oberösterreich;677398;;677398;588802
2021-06-08;5;Salzburg;468654;;468654;210050
2021-06-08;6;Steiermark;1125368;;1125368;789639
2021-06-08;7;Tirol;585161;;585161;145332
2021-06-08;8;Vorarlberg;548488;;548488;120370
2021-06-08;9;Wien;2247877;;2247877;748732
2021-06-08;10;Österreich;7319609;;7319609;4035120
2021-06-09;1;Burgenland;453974;;453974;304363
2021-06-09;2;Kärnten;380125;;380125;170980
2021-06-09;3;Niederösterreich;852134;;852134;971582
2021-06-09;4;Oberösterreich;683800;;683800;594755
2021-06-09;5;Salzburg;472722;;472722;212220
2021-06-09;6;Steiermark;1138770;;1138770;798687
2021-06-09;7;Tirol;590947;;590947;146819
2021-06-09;8;Vorarlberg;553234;;553234;121305
2021-06-09;9;Wien;2286497;;2286497;756877
2021-06-09;10;Österreich;7412203;;7412203;4077588
2021-06-10;1;Burgenland;459197;;459197;307151
2021-06-10;2;Kärnten;385272;;385272;173388
2021-06-10;3;Niederösterreich;864070;;864070;984199
2021-06-10;4;Oberösterreich;690988;;690988;601219
2021-06-10;5;Salzburg;476833;;476833;214931
2021-06-10;6;Steiermark;1154595;;1154595;808620
2021-06-10;7;Tirol;597672;;597672;148373
2021-06-10;8;Vorarlberg;558490;;558490;122654
2021-06-10;9;Wien;2329696;;2329696;767280
2021-06-10;10;Österreich;7516813;;7516813;4127815
2021-06-11;1;Burgenland;463868;;463868;310176
2021-06-11;2;Kärnten;389631;;389631;175720
2021-06-11;3;Niederösterreich;874939;;874939;995440
2021-06-11;4;Oberösterreich;697810;;697810;607658
2021-06-11;5;Salzburg;480738;;480738;216649
2021-06-11;6;Steiermark;1168206;;1168206;816266
2021-06-11;7;Tirol;603701;;603701;150347
2021-06-11;8;Vorarlberg;563971;;563971;123943
2021-06-11;9;Wien;2369737;;2369737;777258
2021-06-11;10;Österreich;7612601;;7612601;4173457
2021-06-12;1;Burgenland;471133;;471133;313103
2021-06-12;2;Kärnten;397579;;397579;179392
2021-06-12;3;Niederösterreich;893265;;893265;1007511
2021-06-12;4;Oberösterreich;707954;;707954;613500
2021-06-12;5;Salzburg;486705;;486705;218885
2021-06-12;6;Steiermark;1190601;;1190601;824219
2021-06-12;7;Tirol;613691;;613691;152046
2021-06-12;8;Vorarlberg;573143;;573143;125386
2021-06-12;9;Wien;2422650;;2422650;785577
2021-06-12;10;Österreich;7756721;;7756721;4219619
2021-06-13;1;Burgenland;475167;;475167;314493
2021-06-13;2;Kärnten;401327;;401327;180571
2021-06-13;3;Niederösterreich;903863;;903863;1012826
2021-06-13;4;Oberösterreich;713149;;713149;614163
2021-06-13;5;Salzburg;489489;;489489;219333
2021-06-13;6;Steiermark;1199980;;1199980;825709
2021-06-13;7;Tirol;618325;;618325;153398
2021-06-13;8;Vorarlberg;581660;;581660;125518
2021-06-13;9;Wien;2450938;;2450938;787030
2021-06-13;10;Österreich;7833898;;7833898;4233041
2021-06-14;1;Burgenland;476394;;476394;315191
2021-06-14;2;Kärnten;401626;;401626;181190
2021-06-14;3;Niederösterreich;905744;;905744;1016559
2021-06-14;4;Oberösterreich;713739;;713739;616190
2021-06-14;5;Salzburg;489671;;489671;219904
2021-06-14;6;Steiermark;1201427;;1201427;828137
2021-06-14;7;Tirol;618616;;618616;154122
2021-06-14;8;Vorarlberg;585879;;585879;125769
2021-06-14;9;Wien;2455046;;2455046;788694
2021-06-14;10;Österreich;7848142;;7848142;4245756
2021-06-15;1;Burgenland;482585;;482585;318472
2021-06-15;2;Kärnten;407343;;407343;183663
2021-06-15;3;Niederösterreich;919106;;919106;1029457
2021-06-15;4;Oberösterreich;721639;;721639;623537
2021-06-15;5;Salzburg;494658;;494658;222846
2021-06-15;6;Steiermark;1218744;;1218744;838896
2021-06-15;7;Tirol;626144;;626144;155244
2021-06-15;8;Vorarlberg;591858;;591858;126959
2021-06-15;9;Wien;2505669;;2505669;800207
2021-06-15;10;Österreich;7967746;;7967746;4299281
2021-06-16;1;Burgenland;486526;;486526;320534
2021-06-16;2;Kärnten;410923;;410923;186082
2021-06-16;3;Niederösterreich;928821;;928821;1038825
2021-06-16;4;Oberösterreich;727465;;727465;628464
2021-06-16;5;Salzburg;498157;;498157;224910
2021-06-16;6;Steiermark;1230646;;1230646;846494
2021-06-16;7;Tirol;631359;;631359;156688
2021-06-16;8;Vorarlberg;597005;;597005;128123
2021-06-16;9;Wien;2542989;;2542989;808316
2021-06-16;10;Österreich;8053891;;8053891;4338436
2021-06-17;1;Burgenland;491424;;491424;323211
2021-06-17;2;Kärnten;415493;;415493;188019
2021-06-17;3;Niederösterreich;939382;;939382;1049537
2021-06-17;4;Oberösterreich;733799;;733799;634007
2021-06-17;5;Salzburg;501899;;501899;227166
2021-06-17;6;Steiermark;1244774;;1244774;854723
2021-06-17;7;Tirol;637649;;637649;158024
2021-06-17;8;Vorarlberg;602584;;602584;129547
2021-06-17;9;Wien;2583790;;2583790;818219
2021-06-17;10;Österreich;8150794;;8150794;4382453
2021-06-18;1;Burgenland;495565;;495565;325719
2021-06-18;2;Kärnten;419384;;419384;190522
2021-06-18;3;Niederösterreich;949074;;949074;1059238
2021-06-18;4;Oberösterreich;739760;;739760;639060
2021-06-18;5;Salzburg;505395;;505395;228993
2021-06-18;6;Steiermark;1257181;;1257181;861836
2021-06-18;7;Tirol;643145;;643145;159695
2021-06-18;8;Vorarlberg;608245;;608245;130592
2021-06-18;9;Wien;2621717;;2621717;826891
2021-06-18;10;Österreich;8239466;;8239466;4422546
2021-06-19;1;Burgenland;505969;;505969;328239
2021-06-19;2;Kärnten;429898;;429898;193487
2021-06-19;3;Niederösterreich;970775;;970775;1069976
2021-06-19;4;Oberösterreich;753661;;753661;645794
2021-06-19;5;Salzburg;514126;;514126;230787
2021-06-19;6;Steiermark;1285083;;1285083;870888
2021-06-19;7;Tirol;656862;;656862;161252
2021-06-19;8;Vorarlberg;620876;;620876;132425
2021-06-19;9;Wien;2689779;;2689779;834473
